Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","14757","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","20718","E","Estimated value"
"QCL","Crops and livestock products","012","Algeria","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","10235","E","Estimated value"
"QCL","Crops and livestock products","024","Angola","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","9120","I","Imputed value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","24000","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","23299","E","Estimated value"
"QCL","Crops and livestock products","036","Australia","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","24069","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","49349","E","Estimated value"
"QCL","Crops and livestock products","044","Bahamas","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","9808","E","Estimated value"
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","9375","E","Estimated value"
"QCL","Crops and livestock products","052","Barbados","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","24242","E","Estimated value"
"QCL","Crops and livestock products","058","Belgium-Luxembourg","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","52436","E","Estimated value"
"QCL","Crops and livestock products","084","Belize","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","15692","E","Estimated value"
"QCL","Crops and livestock products","204","Benin","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","6089","E","Estimated value"
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","14013","E","Estimated value"
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","12922","E","Estimated value"
"QCL","Crops and livestock products","072","Botswana","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","693","E","Estimated value"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","14421","E","Estimated value"
"QCL","Crops and livestock products","100","Bulgaria","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","37387","E","Estimated value"
"QCL","Crops and livestock products","854","Burkina Faso","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","6447","E","Estimated value"
"QCL","Crops and livestock products","108","Burundi","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","11607","I","Imputed value"
"QCL","Crops and livestock products","132","Cabo Verde","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","3080","I","Imputed value"
"QCL","Crops and livestock products","116","Cambodia","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","15893","E","Estimated value"
"QCL","Crops and livestock products","120","Cameroon","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","8957","E","Estimated value"
"QCL","Crops and livestock products","124","Canada","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","52748","E","Estimated value"
"QCL","Crops and livestock products","140","Central African Republic","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","6729","E","Estimated value"
"QCL","Crops and livestock products","148","Chad","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","17143","E","Estimated value"
"QCL","Crops and livestock products","152","Chile","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","32366","E","Estimated value"
"QCL","Crops and livestock products","156","China, mainland","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","20885","E","Estimated value"
"QCL","Crops and livestock products","158","China, Taiwan Province of","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","25518","I","Imputed value"
"QCL","Crops and livestock products","170","Colombia","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","13257","E","Estimated value"
"QCL","Crops and livestock products","174","Comoros","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","10606","E","Estimated value"
"QCL","Crops and livestock products","178","Congo","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","5714","I","Imputed value"
"QCL","Crops and livestock products","188","Costa Rica","5419","Yield","0112","Maize (corn)","1970","1970","100 g/ha","11389","T","Unofficial figure"
