Literature Link,Title,Optimal Temperature for production (C),Limit Temperature for production (C),Optimal Water Activity (aw),Limit Water Activity (aw),Comments
https://www.mdpi.com/2076-2607/8/12/2000,Influence of Light and Water Activity on Growth and Mycotoxin Formation of Selected Isolates of Aspergillus flavus and Aspergillus parasiticus,-,-,0.98,0.95,"0.95 aw combine with 455/470 nm light reduces the growth 

Lab experiment with wavelength and water activity"
https://reader.elsevier.com/reader/sd/pii/S0733521016301266?token=3EBC1BFFB0F448B494EAF82F6835537994D1B937BC7B42165C234194509767DD0C8460F2B5FCFB12CAC3910E1F80D74E&originRegion=eu-west-1&originCreation=20230512104514,"Aflatoxin in maize, a multifaceted answer of Aspergillus flavus governed by weather, host-plant and competitor fungi",-,-,0.95-0.99,0.85,"There is a negative correlation when aw is lower than 0.95 for growth, field experiment"
https://journals.asm.org/doi/epub/10.1128/am.15.5.1006-1009.1967,Aflatoxin Production by Aspergillus flavus as Related to Various Temperatures,24,"41 C no aflatoxin were produced 

 13 C A.flavus produced aflatoxin after 3 weeks",-,-,29&35 Celsius maximum growth
https://www.sciencedirect.com/science/article/pii/S0168160518308432,Aflatoxin B1 (AFB1) production by Aspergillus flavus and Aspergillus parasiticus on ground Nyjer seeds: The effect of water activity and temperature,"27 (A.flavus) 

35 (A.parasiticus)","20, 27, 35 the fungi didn’t grow","0.90-0.98 (A.flavus) 

0.90-0.94 (A.parasiticus)",0.82,Studies on ground nyjer seeds
https://www.tandfonline.com/doi/epdf/10.1080/15572536.2007.11832583?needAccess=true&role=button,The effect of elevated temperature on gene transcription andaflatoxin biosynthesis,28 (studies compare only 28 and 37),37,,,"Gene transcription study 

Effect of the aflatoxin might be dependent more on the substrate of the strain rather than temperature (Mayne et al., 1967) 

* 

37 maximum growth but no aflatoxin production"
"Google scholar search: aflatoxin optimal temperature 

 

 

https://www.annualreviews.org/doi/pdf/10.1146/annurev.py.25.090187.001341","EPIDEMIOLOGY OF AFLATOXIN 
FORMATION BY ASPERGILLUS 
FLAVUS",,,,,Different optimal growth for different plants
https://link.springer.com/article/10.1007/BF02049790,Effect of temperature on production of aflatoxin on rice by Aspergillus flavus,"28 (Aflatoxin B1&G1) 

 

B1 were also found at 32 but less","37 (low) 

11 (found aflatoxin after 3 weeks) 

None at 8",-,-,rice
https://reader.elsevier.com/reader/sd/pii/S0956713517303596?token=79B4B4F094A2C2FAAF4431446D9A62255209DD909051FC91F63C15B96DA6EA744CA07831680181ADCCE61199FBD2D284&originRegion=eu-west-1&originCreation=20230518215949,"Effect of water activity and temperature on the growth of Aspergillus flavus, the expression of aflatoxin biosynthetic genes and aflatoxin production in shelled peanuts","28(aflatoxin production) 

 

37(growth of A.flavus)",20 (growth of A.flavus),"0.96(aflatoxin production) 

 

0.98 (growth of A.flavus)",0.85 (growth of A.flavus),peanut
https://link.springer.com/article/10.1007/s12550-010-0062-7,The production of aflatoxin B1 or G1 by Aspergillus parasiticus at various combinations of temperature and water activity is related to the ratio of aflS to aflR expression,35 Optimal growth,17&42 marginal growth,,,Aspergillus parasiticus
https://onlinelibrary.wiley.com/doi/abs/10.1002/jobm.3620270910,Temperature and aflatoxin production by Aspergillus flavus and A. parasiticus strains from Nigerian groundnuts,30,10,-,-,-
https://academic.oup.com/jambio/article/111/5/1262/6715650?login=true,Modelling the effect of water activity and temperature on growth rate and aflatoxin production by two isolates of Aspergillus flavus on paddy,25-30,10&43,0.98,"0.82 

0.86-0.99(toxin detected)",A.flavus on paddy
https://www.sciencedirect.com/science/article/pii/S0325754115001297,"Effects of temperature, water activity and incubation time on fungal growth and aflatoxin B1 production by toxinogenic Aspergillus flavus isolates on sorghum seeds",37 (growth),"25&37 

At 15 only one specimen grew & no aflatoxin produced",0.99 (diameter),0.91,Sorghum in Tunisia
https://www.wageningenacademic.com/doi/10.3920/WMJ2011.1300,Growth and aflatoxin production of an Italian strain of Aspergillus flavus: influence of ecological factors and nutritional substrates,25 (aflatoxin production),,,0.83 (limit for growth),Maize in north Italy
https://reader.elsevier.com/reader/sd/pii/S0308814619308040?token=6B4CC10C063B4D7AE95DC2253552EE35D02EB7E40540A839D47FBCA37CDE4B10F5B01636FD7CBFEEAB36FAA17A8B83A0&originRegion=eu-west-1&originCreation=20230519143320,"Interaction of water activity and temperature on the growth, gene expression and aflatoxin production by Aspergillus flavus on paddy and polished rice","28-37(growth) 

33 (AFB1 production)",37 with 0.96 (low growth),"0.92-0.96(growth) 

 

0.96(AFB1 production)",0.90-0.99 (at 33C),A.flavus on paddy and polished rice
https://www.sciencedirect.com/science/article/pii/S0963996901001612,https://www.sciencedirect.com/science/article/pii/S0963996901001612,,,,,-pH effects
https://link.springer.com/article/10.1007/s12550-019-00380-w,"Effect of temperature on growth, gene expression, and aflatoxin production by Aspergillus nomius isolated from Brazil nuts","30 (growth & some genes) 

 

25 (aflatxoin B1 production & a gene)",-,-,-,Brazilian nuts
https://reader.elsevier.com/reader/sd/pii/S0309174016302431?token=66C1E27E5ABDAC14AE762E49BF59A658639E3C6B3E22FA9FEA4703331F7FB98BBC9077F11220E27F9FAFD695E925B172&originRegion=eu-west-1&originCreation=20230519154349,Effect of temperature and water activity on growth and aflatoxin production by Aspergillus flavus and Aspergillus parasiticus on cured meat model systems,"25, more than 15 produce toxin",10 doesn't produce anymore toxin,"0.95, more than 0.90 produce toxin",-,Cured meat
