"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1",924521055,"96001198-f762-11e1-a439-00145eb45e9a","8e6d6a14-f81d-11e6-98f8-70e2840fc270","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","SPECIES","Aspergillus oryzae (Ahlb.) Cohn","Aspergillus oryzae (Ahlb.) E. Cohn","(Ahlb.) E. Cohn","JP","Iryuuda","Kanagawa Prefecture","PRESENT",NA,"4fd82480-ea1c-11da-8db4-b8a03c50a862",35.241528,139.118056,NA,NA,NA,NA,NA,NA,2009-02-28,28,2,2009,5259827,5259820,"PRESERVED_SPECIMEN","KPM","NC","KPM-NC0016722","","",NA,"CC_BY_4_0","","","",NA,2023-03-22 02:58:27.271,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"2",4104565685,"5a6538b8-e35c-46c4-8978-6858a657a75f","e8a53224-0a4e-486a-b237-59c57d4e6016","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","SPECIES","Aspergillus flavus Link","Aspergillus flavus","Link","US","Rockport","Kansas","PRESENT",NA,"a26dde42-dd82-4d07-a763-353ab27fc02c",39.361893,-99.299255,36700,NA,NA,NA,NA,NA,1892-10-10,10,10,1892,5259820,5259820,"PRESERVED_SPECIMEN","CUP","","CUP-A-032536","","Bartholomew, Elam",NA,"CC0_1_0","","Everhart","",NA,2023-05-11 20:31:00.486,"","CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"3",4104488718,"5a6538b8-e35c-46c4-8978-6858a657a75f","82b77999-d41b-4e50-9dcc-dc4c34bf3a9b","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","SPECIES","Aspergillus flavus Link","Aspergillus flavus","Link","US","","Kansas","PRESENT",NA,"a26dde42-dd82-4d07-a763-353ab27fc02c",39.313244,-99.334487,37773,NA,NA,NA,NA,NA,1901-09-01,NA,9,1901,5259820,5259820,"PRESERVED_SPECIMEN","CUP","","CUP-A-032535","","Bartholomew, Elam",NA,"CC0_1_0","","Bartholomew, Elam","",NA,2023-05-11 20:31:00.37,"","CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"4",4104488104,"5a6538b8-e35c-46c4-8978-6858a657a75f","65e977da-d6c2-432a-89ab-a2caef7d2122","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","SPECIES","Aspergillus flavus Link","Aspergillus flavus","Link","US","","Kansas","PRESENT",NA,"a26dde42-dd82-4d07-a763-353ab27fc02c",39.381209,-99.312515,37519,NA,NA,NA,NA,NA,1896-07-01,NA,7,1896,5259820,5259820,"PRESERVED_SPECIMEN","CUP","","F.Columbiani-1080","","",NA,"CC0_1_0","","E. Bartholomew","",NA,2023-05-11 20:31:07.051,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"5",4104445937,"5a6538b8-e35c-46c4-8978-6858a657a75f","8a39ab86-dbd3-4ebe-a143-ef8b60bd55d7","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","SPECIES","Aspergillus flavus Link","Aspergillus flavus","Link","US","","Kansas","PRESENT",NA,"a26dde42-dd82-4d07-a763-353ab27fc02c",39.381209,-99.312515,37519,NA,NA,NA,NA,NA,1901-09-25,25,9,1901,5259820,5259820,"PRESERVED_SPECIMEN","CUP","","F.Columbiani-1507","","",NA,"CC0_1_0","","E. Bartholomew","",NA,2023-05-11 20:31:12.776,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"6",4099844750,"d1a3b128-b406-46bb-a6d1-f3591dcc8a7b","af2e23fa-6359-47ad-bd2a-fbaeef56677d","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","SPECIES","Aspergillus flavus Link","Aspergillus flavus","Link","US","Houma","Louisiana","PRESENT",NA,"e43cf4b8-849e-4fac-b075-e652d019d2cf",29.59577,-90.719535,8033,NA,NA,NA,NA,NA,1932-08-01,NA,8,1932,5259820,5259820,"PRESERVED_SPECIMEN","BPI","","BPI 410301","","Charles Vera K.",NA,"CC0_1_0","","Holloway T. E.","",NA,2023-05-11 16:33:16.242,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"7",4099626750,"d1a3b128-b406-46bb-a6d1-f3591dcc8a7b","60853e90-2f7c-4c0e-af70-1dda709f4cb9","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","SPECIES","Aspergillus flavus Link","Aspergillus flavus","Link","US","Blackjack","Missouri","PRESENT",NA,"e43cf4b8-849e-4fac-b075-e652d019d2cf",37.872257,-93.791878,3036,NA,NA,NA,NA,NA,1932-12-01,1,12,1932,5259820,5259820,"PRESERVED_SPECIMEN","BPI","","BPI 410300","33018","",NA,"CC0_1_0","","Swain R. B.","",NA,2023-05-11 16:33:56.308,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"8",4099621790,"d1a3b128-b406-46bb-a6d1-f3591dcc8a7b","9a395d03-1d0f-4c85-b295-69414a5f1a41","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","SPECIES","Aspergillus flavus Link","Aspergillus flavus","Link","US","","Kansas","PRESENT",NA,"e43cf4b8-849e-4fac-b075-e652d019d2cf",39.35023,-99.325054,41169,NA,NA,NA,NA,NA,1892-10-19,19,10,1892,5259820,5259820,"PRESERVED_SPECIMEN","BPI","","BPI 410525","","",NA,"CC0_1_0","","Bartholomew Elam","",NA,2023-05-11 16:33:17.03,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"9",4099621762,"d1a3b128-b406-46bb-a6d1-f3591dcc8a7b","a14943ab-1101-404c-8cee-f3275f451e3e","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","SPECIES","Aspergillus flavus Link","Aspergillus flavus","Link","US","Fairfax","South Carolina","PRESENT",NA,"e43cf4b8-849e-4fac-b075-e652d019d2cf",32.959048,-81.236495,2069,NA,NA,NA,NA,NA,1931-06-29,29,6,1931,5259820,5259820,"PRESERVED_SPECIMEN","BPI","","BPI 410303","","Charles Vera K.",NA,"CC0_1_0","","Eagerton","",NA,2023-05-11 16:33:15.944,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"10",4099609802,"d1a3b128-b406-46bb-a6d1-f3591dcc8a7b","5eec3afc-c0bc-4411-b7db-84a3412ab030","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","SPECIES","Aspergillus flavus Link","Aspergillus flavus","Link","US","","Kansas","PRESENT",NA,"e43cf4b8-849e-4fac-b075-e652d019d2cf",39.35023,-99.325054,41169,NA,NA,NA,NA,NA,1896-07-01,NA,7,1896,5259820,5259820,"PRESERVED_SPECIMEN","BPI","","BPI 410517","","",NA,"CC0_1_0","","Bartholomew E.","",NA,2023-05-11 16:33:56.449,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
