<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Benin","9.5","2.25","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Houssou et al. (2009)","-"
"Botswana","-22","24","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Mphande et al. (2004)","-"
"Burkina Faso","12.5","-1.66667","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a)","-"
"Cameroon","6","12.5","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Njobeh et al. (2009)","-"
"Chad","15","19","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Sougnabe and Foko (2003)","-"
"Egypt","27","30","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a); Abdel-Hafez et al. (2012); Abdel-Hafez et al. (2014); Hemida et al. (2017)","-"
"Ethiopia","9","39.5","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Gorfu and Sangchote (2005)","-"
"Ghana","8.1","-1.2","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Aboagye-Nuamah et al. (2005); Sowley et al. (2011)","-"
"Kenya","1","38","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a)","-"
"Libya","28","17","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Youssef et al. (2008)","-"
"Morocco","32","-6","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Roussos et al. (2006)","-"
"Niger","18","9","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a)","-"
"Nigeria","10","8","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a); Abdulrahman et al. (2019); Alum et al. (2019); Danazumi et al. (2015); Olasupo et al. (2020)","-"
"Senegal","14.5","-14.25","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a)","-"
"Sudan","16","30","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a); El-Nagerabi and Elshafie (2000); Elshafie and Ali (2005)","-"
"Tanzania","-6","35","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Odebode et al. (2006)","-"
"Uganda","1.25","32.5","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Taligoola et al. (2004)","-"
"Zambia","-14.33333","28.5","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Kankolongo et al. (2009)","-"
"Armenia","40.25","45","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a)","-"
"Bahrain","26.03333","50.55","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Mandeel (2005)","-"
"Bangladesh","24","90","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a); Helal et al. (2018); Yasmin and Shamsi (2020)","-"
"China","35","105","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a); CABI (2020); Zhang ChuShu et al. (2017); Zhu et al. (2022)","-"
" - Anhui","31.91667","117.16667","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Wang LaiFa et al. (2004)","-"
" - Jiangsu","33","119.83333","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Jiang JinHua et al. (2009); Wang LaiFa et al. (2004)","-"
" - Shaanxi","36","109","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Zhu et al. (2022)","-"
"India","22","79","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a); Bengyella et al. (2015); CABI (2020); Kotgire Ganesh and Mehta (2014); Naim Uddin (2007); Narendra Kumar et al. (2016); Ng and Chhetry (2006); Swati Dumbre et al. (2011)","-"
" - Andhra Pradesh","15.83333","79.75","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a)","-"
" - Assam","26","93","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a)","-"
" - Bihar","25.75","85.75","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a)","-"
" - Chhattisgarh","21.5","82","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Chandrol (2007)","-"
" - Gujarat","23","71.75","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a); Kotgire Ganesh and Mehta (2014)","-"
" - Haryana","29.25","76.33333","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a); Narendra Kumar et al. (2016)","-"
" - Himachal Pradesh","31.91667","77.25","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Kirti Joshi et al. (2004); Durga Prashad et al. (2016)","-"
" - Jammu and Kashmir","33.91667","76.66667","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a)","-"
" - Karnataka","14.66667","75.83333","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a)","-"
" - Kerala","10.41667","76.5","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Murali Gopal et al. (2002)","-"
" - Madhya Pradesh","23.5","78.5","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a)","-"
" - Maharashtra","19.5","76","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a); Swati Dumbre et al. (2011)","-"
" - Manipur","25","94","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Bengyella et al. (2015); Ng and Chhetry (2006)","-"
" - Odisha","20.5","84.41667","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a)","-"
" - Punjab","30.91667","75.41667","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a); Asma Safdar et al. (2010)","-"
" - Rajasthan","26.58333","73.83333","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a)","-"
" - Tamil Nadu","11","78.33333","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Pramod et al. (2007)","-"
" - Uttar Pradesh","27.25","80.75","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI (Undated a)","-"
" - Uttarakhand","30.25","79.25","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Sarika Kaler (2008); Kirti Joshi et al. (2004); Sahu and Agarwal (2004)","-"
" - West Bengal","24","88","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Ojha et al. (2008); Naim Uddin (2007)","-"
"Indonesia","-5","120","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Dharmaputra et al. (2004); CABI (2020)","-"
" - Java","-7.49167","110.00444","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Dharmaputra et al. (2004)","-"
